!
!     FILE NAME :  ZMAP_EXAMPLE_GID     
!     FORMATTED FILE CREATION DATE:  
!     FORMATTED FILE CREATION TIME: 
!
!     grid is arranged column by column  with positive y axis down and x axis to the right
!
@EXAMPLE_GRID HEADER                ,      GRID,         5
      15,  0.1000000E+31,            ,      7,      1
     486,    519,   134500.0    ,   255750.0    ,   1534000.    ,   1663500.   
    0.000000    ,   0.000000    ,   0.000000    
@
  -3300.576      -3298.666      -3296.752      -3294.836      -3292.920    
  -3291.006      -3289.094      -3287.181      -3285.275      -3283.373    
  -3281.479      -3279.596      -3277.721      -3275.852      -3273.990    
  -3272.140      -3270.299      -3268.468      -3266.646      -3264.830    
  -3263.021      -3261.216      -3259.421      -3257.634      -3255.853    
  -3254.087      -3252.327      -3250.572      -3248.826      -3247.091    
  -3245.363      -3243.646      -3241.938      -3240.243      -3238.560    
  -3236.887      -3235.218      -3233.564      -3231.919      -3230.285    
  -3228.665      -3227.053      -3225.456      -3223.874      -3222.307    
  -3220.741      -3219.188      -3217.650      -3216.126      -3214.613    
  -3213.115      -3211.629      -3210.157      -3208.699      -3207.257    
  -3205.827      -3204.412      -3203.009      -3201.622      -3200.250    
  -3198.890      -3197.543      -3196.212      -3194.895      -3193.593    
  -3192.305      -3191.035      -3189.779      -3188.539      -3187.315    
  -3186.105      -3184.912      -3183.731      -3182.565      -3181.416    
  -3180.284      -3179.171      -3178.072      -3176.988      -3175.918    
  -3174.866      -3173.832      -3172.813      -3171.814      -3170.832    
  -3169.863      -3168.912      -3167.976      -3167.055      -3166.154    
  -3165.267      -3164.396      -3163.538      -3162.697      -3161.873    
  -3161.063      -3160.266      -3159.489      -3158.728      -3157.979    
  -3157.245      -3156.521      -3155.811      -3155.115      -3154.428    
  -3153.755      -3153.092      -3152.437      -3151.790      -3151.152    
  -3150.522      -3149.904      -3149.296      -3148.705      -3148.134    
  -3147.575      -3147.038      -3146.529      -3146.054      -3145.611    
  -3145.208      -3144.842      -3144.510      -3144.204      -3143.904    
  -3143.589      -3143.220      -3142.773      -3142.241      -3141.635    
  -3141.033      -3140.558      -3140.096      -3139.590      -3139.034    
  -3138.441      -3137.834      -3137.241      -3136.670      -3136.136    
  -3135.646      -3135.197      -3134.785      -3134.401      -3134.051    
  -3133.722      -3133.416      -3133.133      -3132.870      -3132.622    
  -3132.395      -3132.183      -3131.988      -3131.812      -3131.656    
  -3131.522      -3131.415      -3131.328      -3131.272      -3131.241    
  -3131.241      -3131.263      -3131.320      -3131.407      -3131.525    
  -3131.669      -3131.843      -3132.055      -3132.300      -3132.577    
  -3132.891      -3133.243      -3133.629      -3134.052      -3134.511    
  -3135.006      -3135.537      -3136.103      -3136.709      -3137.356    
  -3138.042      -3138.763      -3139.522      -3140.322      -3141.162    
  -3142.041      -3142.959      -3143.920      -3144.921      -3145.958    
  -3147.035      -3148.148      -3149.305      -3150.500      -3151.738    
  -3153.016      -3154.335      -3155.685      -3157.078      -3158.506    
  -3159.976      -3161.485      -3163.034      -3164.621      -3166.247    
  -3167.910      -3169.620      -3171.364      -3173.148      -3174.970    
  -3176.833      -3178.729      -3180.664      -3182.636      -3184.651    
  -3186.700      -3188.785      -3190.899      -3193.050      -3195.234    
  -3197.448      -3199.688      -3201.954      -3204.248      -3206.562    
  -3208.905      -3211.267      -3213.645      -3216.035      -3218.442    
  -3220.850      -3223.267      -3225.679      -3228.080      -3230.465    
  -3232.839      -3235.191      -3237.521      -3239.821      -3242.095    
  -3244.335      -3246.546      -3248.729      -3250.888      -3253.029    
  -3255.167      -3257.307      -3259.461      -3261.641      -3263.865    
  -3266.140      -3268.469      -3270.837      -3273.202      -3275.502    
  -3277.649      -3279.586      -3281.313      -3282.943      -3284.795    
  -3287.447      -3290.260      -3292.957      -3295.435      -3297.699    
  -3299.822      -3301.879      -3303.931      -3306.022      -3308.153    
  -3310.325      -3312.523      -3314.738      -3316.948      -3319.146    
  -3321.329      -3323.477      -3325.587      -3327.655      -3329.678    
  -3331.654      -3333.584      -3335.467      -3337.302      -3339.101    
  -3340.862      -3342.593      -3344.298      -3345.983      -3347.646    
  -3349.293      -3350.928      -3352.555      -3354.173      -3355.781    
  -3357.390      -3358.996      -3360.600      -3362.204      -3363.809    
  -3365.417      -3367.030      -3368.648      -3370.274      -3371.906    
  -3373.546      -3375.191      -3376.845      -3378.505      -3380.177    
  -3381.858      -3383.546      -3385.236      -3386.937      -3388.647    
  -3390.365      -3392.092      -3393.828      -3395.572      -3397.327    
  -3399.092      -3400.863      -3402.641      -3404.430      -3406.231    
  -3408.041      -3409.862      -3411.698      -3413.542      -3415.400    
  -3417.270      -3419.151      -3421.041      -3422.949      -3424.865    
  -3426.797      -3428.749      -3430.711      -3432.688      -3434.683    
  -3436.690      -3438.708      -3440.746      -3442.792      -3444.853    
  -3446.930      -3449.025      -3451.130      -3453.244      -3455.369    
  -3457.508      -3459.657      -3461.819      -3463.986      -3466.158    
  -3468.338      -3470.525      -3472.705      -3474.881      -3477.051    
  -3479.211      -3481.362      -3483.500      -3485.624      -3487.724    
  -3489.801      -3491.845      -3493.863      -3495.854      -3497.814    
  -3499.739      -3501.625      -3503.485      -3505.316      -3507.126    
  -3508.918      -3510.698      -3512.478      -3514.261      -3516.057    
  -3517.866      -3519.696      -3521.542      -3523.398      -3525.258    
  -3527.105      -3528.934      -3530.713      -3532.423      -3534.031    
  -3535.549      -3536.978      -3538.337      -3539.640      -3540.901    
  -3542.139      -3543.368      -3544.592      -3545.819      -3547.048    
  -3548.279      -3549.509      -3550.729      -3551.935      -3553.124    
  -3554.297      -3555.452      -3556.581      -3557.685      -3558.761    
  -3559.813      -3560.842      -3561.848      -3562.837      -3563.806    
  -3564.764      -3565.715      -3566.656      -3567.593      -3568.525    
  -3569.460      -3570.398      -3571.340      -3572.291      -3573.243    
  -3574.205      -3575.176      -3576.163      -3577.162      -3578.171    
  -3579.192      -3580.221      -3581.262      -3582.313      -3583.377    
  -3584.455      -3585.545      -3586.646      -3587.765      -3588.895    
  -3590.039      -3591.197      -3592.360      -3593.535      -3594.721    
  -3595.921      -3597.135      -3598.355      -3599.587      -3600.829    
  -3602.081      -3603.339      -3604.607      -3605.889      -3607.182    
  -3608.483      -3609.794      -3611.111      -3612.444      -3613.786    
  -3615.139      -3616.506      -3617.880      -3619.259      -3620.647    
  -3622.048      -3623.459      -3624.880      -3626.305      -3627.741    
  -3629.186      -3630.643      -3632.105      -3633.580      -3635.064    
  -3636.554      -3638.052      -3639.555      -3641.069      -3642.589    
  -3644.114      -3645.647      -3647.189      -3648.735      -3650.294    
  -3651.855      -3653.418      -3654.994      -3656.573      -3658.150    
  -3659.734      -3661.316      -3662.909      -3664.497      -3666.089    
  -3667.681      -3669.274      -3670.864      -3672.454      -3674.040    
  -3675.628      -3677.215      -3678.806      -3680.398      -3681.995    
  -3683.598      -3685.212      -3686.838      -3688.470      -3690.113    
  -3691.762      -3693.417      -3695.069      -3696.707      -3698.327    
  -3699.923      -3701.495      -3703.044      -3704.574                   
  -3302.301      -3300.381      -3298.468      -3296.547      -3294.625    
  -3292.705      -3290.786      -3288.870      -3286.957      -3285.050    
  -3283.153      -3281.265      -3279.383      -3277.508      -3275.641    
  -3273.785      -3271.936      -3270.096      -3268.266      -3266.442    
  -3264.624      -3262.814      -3261.007      -3259.213      -3257.424    
  -3255.647      -3253.877      -3252.115      -3250.360      -3248.616    
  -3246.880      -3245.152      -3243.431      -3241.726      -3240.029    
  -3238.342      -3236.665      -3234.999      -3233.343      -3231.700    
  -3230.067      -3228.443      -3226.834      -3225.243      -3223.659    
  -3222.085      -3220.519      -3218.967      -3217.428      -3215.904    
  -3214.392      -3212.895      -3211.409      -3209.936      -3208.478    
  -3207.037      -3205.609      -3204.192      -3202.788      -3201.400    
  -3200.025      -3198.664      -3197.318      -3195.988      -3194.673    
  -3193.372      -3192.082      -3190.811      -3189.557      -3188.314    
  -3187.089      -3185.880      -3184.684      -3183.502      -3182.336    
  -3181.189      -3180.059      -3178.942      -3177.840      -3176.755    
  -3175.688      -3174.636      -3173.597      -3172.578      -3171.578    
  -3170.590      -3169.620      -3168.668      -3167.733      -3166.812    
  -3165.909      -3165.019      -3164.142      -3163.284      -3162.440    
  -3161.612      -3160.799      -3159.998      -3159.218      -3158.452    
  -3157.698      -3156.956      -3156.227      -3155.513      -3154.808    
  -3154.115      -3153.434      -3152.762      -3152.098      -3151.440    
  -3150.792      -3150.154      -3149.526      -3148.915      -3148.316    
  -3147.735      -3147.173      -3146.640      -3146.136      -3145.661    
  -3145.220      -3144.819      -3144.451      -3144.114      -3143.787    
  -3143.452      -3143.080      -3142.648      -3142.144      -3141.580    
  -3141.003      -3140.473      -3139.948      -3139.397      -3138.804    
  -3138.186      -3137.565      -3136.965      -3136.395      -3135.861    
  -3135.366      -3134.911      -3134.491      -3134.100      -3133.739    
  -3133.400      -3133.084      -3132.786      -3132.506      -3132.246    
  -3132.004      -3131.781      -3131.569      -3131.377      -3131.208    
  -3131.059      -3130.937      -3130.838      -3130.765      -3130.720    
  -3130.704      -3130.714      -3130.757      -3130.829      -3130.933    
  -3131.061      -3131.224      -3131.422      -3131.649      -3131.918    
  -3132.217      -3132.555      -3132.927      -3133.336      -3133.779    
  -3134.258      -3134.774      -3135.329      -3135.923      -3136.552    
  -3137.222      -3137.930      -3138.674      -3139.458      -3140.284    
  -3141.148      -3142.051      -3142.992      -3143.975      -3144.999    
  -3146.061      -3147.157      -3148.296      -3149.476      -3150.696    
  -3151.958      -3153.257      -3154.590      -3155.968      -3157.379    
  -3158.835      -3160.325      -3161.855      -3163.427      -3165.038    
  -3166.683      -3168.372      -3170.095      -3171.861      -3173.666    
  -3175.508      -3177.388      -3179.305      -3181.261      -3183.254    
  -3185.284      -3187.346      -3189.446      -3191.583      -3193.748    
  -3195.943      -3198.168      -3200.419      -3202.698      -3205.000    
  -3207.330      -3209.680      -3212.046      -3214.426      -3216.822    
  -3219.223      -3221.632      -3224.036      -3226.435      -3228.819    
  -3231.196      -3233.551      -3235.886      -3238.196      -3240.477    
  -3242.728      -3244.950      -3247.146      -3249.316      -3251.469    
  -3253.613      -3255.760      -3257.915      -3260.094      -3262.310    
  -3264.575      -3266.894      -3269.261      -3271.651      -3274.006    
  -3276.265      -3278.370      -3280.323      -3282.217      -3284.247    
  -3286.681      -3289.246      -3291.735      -3294.059      -3296.224    
  -3298.287      -3300.318      -3302.367      -3304.460      -3306.597    
  -3308.772      -3310.971      -3313.179      -3315.384      -3317.572    
  -3319.740      -3321.875      -3323.973      -3326.025      -3328.035    
  -3329.998      -3331.916      -3333.787      -3335.617      -3337.405    
  -3339.162      -3340.890      -3342.593      -3344.274      -3345.939    
  -3347.588      -3349.222      -3350.849      -3352.466      -3354.080    
  -3355.692      -3357.299      -3358.906      -3360.512      -3362.120    
  -3363.732      -3365.348      -3366.966      -3368.594      -3370.227    
  -3371.865      -3373.508      -3375.160      -3376.820      -3378.486    
  -3380.166      -3381.847      -3383.533      -3385.229      -3386.933    
  -3388.645      -3390.362      -3392.089      -3393.821      -3395.562    
  -3397.316      -3399.075      -3400.841      -3402.620      -3404.407    
  -3406.204      -3408.009      -3409.823      -3411.651      -3413.489    
  -3415.342      -3417.206      -3419.079      -3420.966      -3422.863    
  -3424.772      -3426.698      -3428.640      -3430.594      -3432.565    
  -3434.544      -3436.540      -3438.554      -3440.577      -3442.611    
  -3444.661      -3446.728      -3448.807      -3450.896      -3452.995    
  -3455.113      -3457.239      -3459.378      -3461.521      -3463.673    
  -3465.828      -3467.990      -3470.148      -3472.304      -3474.454    
  -3476.596      -3478.733      -3480.858      -3482.965      -3485.055    
  -3487.119      -3489.157      -3491.170      -3493.154      -3495.108    
  -3497.028      -3498.912      -3500.766      -3502.595      -3504.400    
  -3506.188      -3507.963      -3509.735      -3511.509      -3513.290    
  -3515.082      -3516.895      -3518.720      -3520.558      -3522.400    
  -3524.227      -3526.035      -3527.796      -3529.493      -3531.098    
  -3532.621      -3534.064      -3535.437      -3536.755      -3538.035    
  -3539.296      -3540.549      -3541.795      -3543.044      -3544.293    
  -3545.540      -3546.787      -3548.023      -3549.246      -3550.453    
  -3551.644      -3552.811      -3553.958      -3555.078      -3556.170    
  -3557.240      -3558.289      -3559.315      -3560.326      -3561.320    
